player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,小铃,花帆,慈,姬芽,吟子,瑠璃乃,缀理,梢
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,13,167,11305722358426620,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,168,11301492848967990,10,10,10,10,10,10,10,10,10
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,0,169,11299517766569140,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十穣角,10,170,11296018463991210,10,10,10,10,10,10,10,10,10
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,171,11286061096168830,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,172,11285290589905570,10,10,10,10,10,10,10,10,10
XK44KNPLR,C_T4KE,GXR6C85BT,花帆ちゃん親衛隊,13,173,11278560723517810,10,10,10,10,10,10,10,10,10
T0AGDWEPM,ゆゆ,CX967RTGY,おんゆあさーくる,15,174,11276439162902170,10,10,10,10,10,10,10,10,10
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,175,11255387894964650,10,10,10,10,10,10,10,10,10
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,176,11254328060841040,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,9,177,11245087148004670,10,10,10,10,10,10,10,10,10
VLVZCU5K1,ひなつき,B5V2LNN43,WMW,15,178,11242429837258470,10,10,10,10,10,10,10,10,10
68X4A67UG,いたこ,25PMPEMG7,星見プロ,13,179,11237609577493520,10,10,10,10,10,10,10,10,10
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,180,11236578820172400,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,181,11235311752655660,10,10,10,10,10,10,10,10,10
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,182,11218055192794500,10,10,10,10,10,10,10,10,10
7XT268BWG,春はこずめぐ,FVJFA973A,蓮ノ空愛好会,15,183,11216873546225210,10,10,10,10,10,10,10,10,10
KO204U2QH,黒曜石は砕けない,KND3T7056,ぽかぽかモガの村,15,184,11213852774804060,10,10,10,10,10,10,10,10,10
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十穣角,15,185,11212338262296640,10,10,10,10,10,10,10,10,10
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,186,11208959242419230,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,187,11206708472003400,10,10,10,10,10,10,10,10,10
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,188,11189467608369800,10,10,10,10,10,10,10,10,10
PFE7K6YNC,テニサー幹部,M5LHG6R4T,乙宗動物園,6,189,11156846386899310,10,10,10,10,10,10,10,10,10
YHD181KD3,AN@,FVJFA973A,蓮ノ空愛好会,14,190,11153060441661320,10,10,10,10,10,10,10,10,10
AT03UHE11,えむ,25PMPEMG7,星見プロ,15,191,11131934688969710,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,192,11127248536446710,10,10,10,10,10,10,10,10,10
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,193,11110370476238400,10,10,10,10,10,10,10,10,10
ALF76WC94,あかつき,RWARTHA1M,乙宗梢大好き部,15,194,11109532626724070,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,195,11085402060029790,10,10,10,10,10,10,10,10,10
BTPB6DXYH,みやび,CX967RTGY,おんゆあさーくる,0,196,11081774666194360,10,10,10,10,10,10,10,10,10
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,13,197,11072392429903460,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,198,11060810311656020,10,10,10,10,10,10,10,10,10
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,199,11036877810521430,10,10,10,10,10,10,10,10,10
0USG3I0AK,ピーちゃん,VW65MCVF8,スリスリーズ,15,200,11036602109905730,10,10,10,10,10,10,10,10,10
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,13,201,11033261889887380,10,10,10,10,10,10,10,10,10
OC4GF3LF1,ゆとり,M5LHG6R4T,乙宗動物園,12,202,11029832333825640,10,10,10,10,10,10,10,10,10
