player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,梢,さやか,小铃,花帆,瑠璃乃,吟子
AT03UHE11,えむ,25PMPEMG7,星見プロ,15,151,6281003064765519,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,152,6263165740230359,10,10,10,10,10,10,10,10,10
OYHRPRDN6,DEEPNESS,YE7CX8RNP,蓮ノ大三十秭角,6,153,6262695510762813,10,10,10,10,10,10,10,10,10
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,13,154,6262233255792969,10,10,10,10,10,10,10,10,10
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,155,6248040240122224,10,10,10,10,10,10,10,10,10
PFE7K6YNC,テニサー幹部,M5LHG6R4T,乙宗動物園,6,156,6247738236748776,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,157,6246441113572276,10,10,10,10,10,10,10,10,10
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,158,6244628996853359,10,10,10,10,10,10,10,10,10
KO204U2QH,黒曜石は砕けない,KND3T7056,ぽかぽかモガの村,15,159,6237960980852430,10,10,10,10,10,10,10,10,10
7VE9T0CUP,ファイナル牙,PBRDPWEY1,村村会,14,160,6233095793607215,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十秭角,10,161,6226400827768603,10,10,10,10,10,10,10,10,10
E60YJ59TP,喫茶梢最強,VW65MCVF8,スリスリーズ,13,162,6225818963985396,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,163,6225170029449746,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,164,6224473445368661,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,165,6221982381428966,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,7,166,6221142686344404,10,10,10,10,10,10,10,10,10
ME00V6X4B,オラトニス,BKLW6CR5L,Mix鮭の空!!,15,167,6220125132149638,10,10,10,10,10,10,10,10,10
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,168,6219392966618617,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,169,6219298471678720,10,10,10,10,10,10,10,10,10
OS5RF4SH8,ふら,GXR6C85BT,花帆ちゃん親衛隊,11,170,6204863273281194,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,171,6204245630949154,10,10,10,10,10,10,10,10,10
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,172,6197056091679922,10,10,10,10,10,10,10,10,10
5LL48ARPU,シュウ,BKLW6CR5L,Mix鮭の空!!,15,173,6194280313815174,10,10,10,10,10,10,10,10,10
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,13,174,6193620636583328,10,10,10,10,10,10,10,10,10
T0AGDWEPM,ゆゆ,CX967RTGY,おんゆあさーくる,15,175,6189669892270605,10,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,176,6187753647146752,10,10,10,10,10,10,10,10,10
