player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,さやか,慈,小铃,姬芽,梢,缀理,花帆
PFE7K6YNC,テニサー幹部,M5LHG6R4T,乙宗動物園,6,144,1858686050731822,10,10,10,10,10,10,10,10,10
KO204U2QH,黒曜石は砕けない,KND3T7056,ぽかぽかモガの村,15,145,1858424025858683,10,10,10,10,10,10,10,10,10
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,146,1857725483796478,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,147,1856809606010220,10,10,10,10,10,10,10,10,10
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,148,1854570680801164,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,149,1852355055634257,10,10,10,10,10,10,10,10,10
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,150,1847494352428969,10,10,10,10,10,10,10,10,10
7VE9T0CUP,むらたみ,PBRDPWEY1,村村会,14,151,1845591034408944,10,10,10,10,10,10,10,10,10
PQHU8G8OV,ミナミ,FVJFA973A,蓮ノ空愛好会,15,152,1845578097952625,10,10,10,10,10,10,10,10,10
NY9X4SWNC,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,153,1844455618672664,10,10,10,10,10,10,10,10,10
XK44KNPLR,C_T4KE,GXR6C85BT,花帆ちゃん親衛隊,13,154,1844416683401434,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,155,1843985520848122,10,10,10,10,10,10,10,10,10
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,156,1843700296391775,10,10,10,10,10,10,10,10,10
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,0,157,1842503785251400,10,10,10,10,10,10,10,10,10
V7YLMH2IY,水しぶきのサイン,PBRDPWEY1,村村会,15,158,1841240707109490,10,10,10,10,10,10,10,10,10
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,13,159,1840340767233515,10,10,10,10,10,10,10,10,10
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,160,1838898121065093,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,161,1838640468770707,10,10,10,10,10,10,10,10,10
FZMYZZPRK,彩花,EYN9H9N16,蓮すきすきクラブ,11,162,1837707568770370,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,163,1829660134603547,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,164,1828558520251170,10,10,10,10,10,10,10,10,10
2288GCGEH,湯切り啜り,EYN9H9N16,蓮すきすきクラブ,14,165,1827927530369341,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十京角,10,166,1826763957781344,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,167,1822471233902340,10,10,10,10,10,10,10,10,10
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,168,1821951766306834,10,10,10,10,10,10,10,10,10
