player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,姬芽,花帆,梢,瑠璃乃,吟子,小铃,缀理,さやか
8ZJCO1B8D,ナイル川飲み干す,VW65MCVF8,スリスリーズ,7,201,3804295312692604,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,202,3803096933324581,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,203,3801826350997920,10,10,10,10,10,10,10,10,10
MY9GFUXVC,きっくー,BKLW6CR5L,Mix鮭の空!!,15,204,3800540078689907,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,205,3794888044632015,10,10,10,10,10,10,10,10,10
NS40I5V6W,創始（P.N.）,YCTM6RYDP,金沢おでん同好会,15,206,3790118472266592,10,10,10,10,10,10,10,10,10
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,207,3787211789467246,10,10,10,10,10,10,10,10,10
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十垓角,15,208,3786139476152720,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,7,209,3784314768024459,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十垓角,10,210,3784106270297966,10,10,10,10,10,10,10,10,10
5388KLM1M,ゲソ,25PMPEMG7,星見プロ,3,211,3776115907168350,10,10,10,10,10,10,10,10,10
J5GI3NA6M,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,212,3773830063295648,10,10,10,10,10,10,10,10,10
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,15,213,3767290963958854,10,10,10,10,10,10,10,10,10
ABPVWLJ7K,まこさん,R181MKNX1,みらくらは人生！,3,214,3760815461130965,10,10,10,10,10,10,10,10,10
