player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
J5GI3NA6M,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,80,15064000,10,10,10,10,10,10,10,10,80,60
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,81,15045000,10,10,10,10,10,10,10,10,80,60
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,82,15036000,10,10,10,10,10,10,10,10,80,60
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,83,15032000,10,10,10,9,9,9,10,10,77,57
VGWT7LCX7,ZUC,CX967RTGY,おんゆあさーくる,12,83,15032000,10,10,10,10,10,10,8,8,76,60
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,85,15014000,10,10,10,10,10,10,10,10,80,60
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,86,15012000,10,10,10,10,10,10,10,10,80,60
2WT4NHVZ5,のぞのぞみん,11FB0EDDT,スクステ同好会,15,87,14991000,10,10,10,10,10,10,10,10,80,60
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,88,14961000,10,8,10,8,10,9,8,10,73,55
7VE9T0CUP,花びら好き好き君,PBRDPWEY1,村村会,14,89,14939000,10,8,10,10,9,8,10,10,75,55
LEEU9JZFJ,きりんちゃん,RWARTHA1M,乙宗梢大好き部,15,90,14925000,10,10,10,10,10,10,10,9,79,60
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,91,14919000,10,10,10,9,9,10,10,9,77,58
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,92,14915000,10,10,10,9,10,10,9,8,76,59
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,93,14876000,10,6,10,7,6,7,10,10,66,46
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,94,14867000,10,10,10,10,10,10,10,10,80,60
ALF76WC94,あかつき,11FB0EDDT,スクステ同好会,15,95,14840000,10,10,10,10,10,10,10,10,80,60
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,96,14834000,10,10,10,10,10,10,10,10,80,60
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,10,97,14794000,10,10,10,10,10,10,10,10,80,60
NY9X4SWNC,くりマロン,11FB0EDDT,スクステ同好会,15,98,14788000,10,10,10,10,10,10,10,10,80,60
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,99,14784000,10,10,10,10,10,10,10,10,80,60
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,15,100,14753000,10,10,10,10,10,10,10,10,80,60
