player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,花帆,慈,瑠璃乃,小铃,梢,缀理,さやか,吟子,昨天分数,是否出刀,未出刀人数
LNLH3S1AI,アララギ,75UJ5RB97,蓮ノ空雪野球部,3,4274,408128104888505,3,7,1,3,5,3,6,5,5,408128104888505,False,21
5RZHTH6OU,ともも,T045NDKW0,♬さやか愛好会♬,8,4275,407960859956425,8,9,10,10,9,10,8,9,9,371350320573793,True,14
W3671CVAG,徐行,VXDPPJJL1,蓮ノ空リボ課金部,0,4276,407364548371401,7,9,8,7,7,7,10,7,6,407364548371401,False,8
11UU1KWRF,ぬー,KT4C59NXG,めぐ島,2,4277,407061996461920,6,7,7,10,7,8,7,5,6,407061996461920,False,17
DRV2P81L0,ふみや,73CBYJYB0,"oNM,",2,4278,406888318715291,8,9,10,10,8,6,8,8,6,312787835246808,True,10
TX2OOW3EG,ネギバター,LY0XPW7NL,元カノ概念強火派,2,4279,406794858395746,7,7,9,3,7,7,9,7,6,406794858395746,False,13
V2N04HFKT,一心,V6DV6KETG,梢好き好きクラブ,1,4280,406432307927237,9,10,9,8,9,9,9,8,9,406432307927237,False,19
T5CMDEG2W,ほびろん,36DAM7HBL,蓮隠れノ里,0,4281,406158566875990,7,7,9,9,5,7,10,7,5,406158566875990,False,17
WP8OPYA8P,カニ天ぷら,6XX7GBM0K,ぷちぐる同好会,6,4282,406062932929503,6,7,8,9,7,7,8,7,6,314032350542177,True,14
Q9QU9VOPD,せつ菜,WBXF9XXW7,さやつづ愛でる会,11,4283,405671912394967,10,9,9,10,8,9,7,10,10,331717801895360,True,6
X4GZKVV68,あずべるで,KT4C59NXG,めぐ島,13,4284,405425199903302,9,10,10,8,10,10,10,10,10,405425199903302,False,17
50ZXERJWU,かるーあ,0R8BXPRC1,ポチっ！とクラブ,2,4285,404096380571120,9,10,10,10,9,10,10,9,9,404096380571120,False,15
NW0T92287,さぼりんご,0MF6U6UPK,あなたなら大丈部,2,4286,403928468376593,2,6,7,4,5,5,5,7,7,403928468376593,False,16
GBWYVNWF1,ゆうし,07JW71HWG,良いチケで観よう,5,4287,403805037223056,10,9,10,10,8,7,10,8,9,309944590859491,True,15
83J0M16WD,saki,4XRHRYDW4,無言でエンジョイ,6,4288,403636518897847,10,10,10,10,9,10,10,9,9,403636518897847,False,20
BVI7DP9SK,星のファービィ,2UKNVBMBU,梢ちゃん同好会,4,4289,403144540782863,6,8,10,7,5,8,10,10,5,403144540782863,False,14
7GNJ185AY,wawawa,L15B25270,蓮女マネージャー,0,4290,402951410851060,7,8,7,8,5,7,5,4,5,402951410851060,False,19
GAB8OG02M,kon,2UKNVBMBU,梢ちゃん同好会,15,4291,402544742593047,10,10,10,10,10,10,10,10,10,402544742593047,False,14
L7RFPQO5I,ゆうちゃん！,AE3L01V24,LOVEミラクラ,5,4292,402509825177320,9,9,10,10,8,9,10,10,9,402509825177320,False,11
WGQGRIDWV,シノ,JDAG79TG7,百合ノ空観察部,0,4293,402036421001572,6,8,7,8,6,5,10,6,5,402036421001572,False,19
