player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,瑠璃乃,姬芽,吟子,小铃,缀理,花帆,さやか,梢
DA950F7PY,？？？,7B0W0EWVA,ソロの為の避難所,5,4403,37483657738169,7,7,6,6,6,7,6,6,10
RKAW60AQX,209系,58FD7UF8J,としとしサークル,4,4404,37479151271373,4,4,4,6,5,4,4,4,4
0H607FX2X,三月色,BELCUYCMH,蓮hkg香港分部,0,4405,37454299847778,4,3,6,6,8,4,4,4,7
C3H8JWVF3,みつ,RA1676TKK,蓮の空好き好き部,2,4406,37431750472251,2,7,1,9,4,5,3,1,3
ORGHE40XK,五郎島金時,K4TAHF9YA,はすっこ準備室,4,4407,37429827773046,7,6,1,6,7,5,1,4,2
SSTETL8LE,フンワリ,M1DLCR0R8,花帆護サークル,2,4408,37382061836880,6,7,4,5,6,6,7,7,7
4YU95R6BA,ティー,ULUELCJ7T,なるようになる,0,4409,37371949913351,9,1,3,4,5,1,4,1,4
E04ABF4HH,じーえむ,YLJ2PP4X4,全日本謝罪同好会,4,4410,37321545749727,4,5,4,2,5,10,3,1,1
9QGWDQJH0,なまなま,36T6UB6YA,まったり箱推し部,2,4411,37319502015578,4,5,4,6,7,4,5,1,1
CNW4CEET9,グゥ,MY7PHGEAX,かがやき号蓮女行,3,4412,37305867366582,7,8,7,6,10,10,7,10,6
484TF7733,うさちゃん,646YTH7KK,KA,0,4413,37276782289808,8,4,4,6,5,7,4,4,7
DVKBB3OH2,ゆずみち,5JA9K5FAK,オタサーの姫芽,4,4414,37255514572701,5,4,1,3,4,5,1,1,4
9Z2DLEZD7,ひさを@にこ誕,573J1JVVK,かほかほ,3,4415,37203948536568,5,4,1,5,8,8,4,8,4
T4KZIBPWA,銀狐,LB0K3MHND,フラワー,3,4416,37090074407109,7,7,5,5,6,7,5,5,7
6RK7I3SCY,岸田さん,WHWT61ELR,【無言】ハスノソ,3,4417,37088971956027,7,7,5,4,5,5,5,7,5
8M57HANX4,白★旗,23YJ44XUE,あつまれ好好の森,4,4418,37047086175582,10,10,5,3,4,10,4,1,9
6RU1YRW8Y,オゼノ,FG5VFFNRK,蓮ノ空おじさん,2,4419,37006290994512,5,7,4,4,7,5,4,7,4
9LVC7UFJR,KKstar,KBJ2P8T0Y,人見知りの集い,0,4420,37003757190708,9,7,4,4,5,9,5,4,8
U2F9K0DD8,ひっちゃん,T045NDKW0,♬さやか愛好会♬,2,4421,36975092656958,5,6,4,6,8,5,7,5,5
3X241R1Y3,ぽんこむし,HBK6KCRPP,無言でおけ,3,4422,36967170285428,5,4,4,2,7,7,1,7,1
