player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,さやか,姬芽,吟子,小铃,花帆,塞拉斯,泉,季度等级,104季度等级
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,67,30988500,8,8,8,9,9,10,7,6,65,52
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,68,30935500,8,8,8,9,8,9,10,6,66,50
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,69,30929500,7,8,7,7,7,10,9,7,62,46
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,70,30879500,7,7,6,7,6,10,9,7,59,43
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,71,30875500,6,7,7,7,7,7,10,9,60,41
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,72,30819000,6,6,10,6,7,10,6,6,57,45
U7NEBV4KH,こーど,,,15,73,30809000,8,8,8,8,8,10,9,7,66,50
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,74,30785000,7,7,7,7,7,9,8,5,57,44
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,75,30732500,8,8,8,8,8,10,7,6,63,50
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,76,30717500,7,8,8,8,7,10,10,7,65,48
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,15,77,30695000,8,7,8,8,7,9,10,8,65,47
