player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,grade pt,塞拉斯,泉,花帆,姬芽,小铃,瑠璃乃,さやか,吟子,季度等级,104季度等级
THT84VUB7,オム,8M6UDX260,ぽけもん好き,4,197,43124500,3859,7,4,10,8,9,6,7,7,58,47
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,198,43112000,3858,10,7,9,8,7,8,8,8,65,48
XBC259K8X,メガネ,11FB0EDDT,スクステ同好会,15,199,43105000,3857,9,6,10,7,6,6,8,6,58,43
8YL7FPM4D,テツブリ,FK5MUK0ET,くる♡すきクラブ,15,200,43086000,3857,8,8,10,9,7,8,9,10,69,53
2WT4NHVZ5,のぞのぞみん,11FB0EDDT,スクステ同好会,15,201,43079000,3856,10,8,8,7,7,6,8,8,62,44
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,12,202,43065500,3856,9,5,10,7,8,8,9,8,64,50
0IEZ2HUX7,はる,HBM31HMUY,YUKIZURI,15,203,43059000,3855,8,7,10,7,7,7,7,7,60,45
GVNJDLBW8,皇帝ペンギン1号,LHXNEF3D5,まるまるサークル,11,204,43058450,3855,10,5,6,5,7,5,6,5,49,34
DUGKFJTKX,松山 祐季,6XX7GBM0K,ぷちぐる同好会,15,205,43050000,3854,10,8,10,9,9,10,10,9,75,57
INAGE6AD9,halxiel,X34LWGL6R,サークル2,13,206,43040000,3854,8,6,8,7,8,8,9,7,61,47
71CYB5LAJ,梓弓,YE7CX8RNP,蓮ノ大三十角ex,14,207,43024500,3853,10,6,10,9,10,8,9,8,70,54
C9DT5IUUS,みしゃにー,NDFW9C99C,蓮じらし,12,208,43001000,3852,10,8,8,8,7,8,8,8,65,47
4FGPNYMSS,てんよし,VW65MCVF8,スリスリーズ,15,209,42990000,3852,10,6,7,6,6,6,7,7,55,39
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,210,42983500,3851,10,8,10,6,6,6,7,7,60,42
