player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,15,210,7165500,8,6,7,6,7,7,8,7,56
F5W4O51H7,あねもねちゃん,49AMYCXCD,ルドベキア,15,210,7165500,6,6,6,6,6,6,6,7,49
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,212,7164000,6,6,6,6,7,7,6,6,50
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,8,212,7164000,10,10,8,10,8,8,10,8,72
ZAHTN08A4,まいにち,WTJV514G9,蓮ノ空のお弁当屋,14,214,7162500,7,7,7,7,7,7,7,8,57
KJWYM5BGB,りーか,N1JM7M3YC,丘側,15,215,7161000,8,7,5,6,6,6,8,6,52
MY1FSZGKQ,カルビ,M5LHG6R4T,乙宗動物園,13,216,7159500,3,7,7,7,7,6,4,7,48
CK3Z00ZOB,vfk-yama,YD2XWWFA4,蓮好き好きクラブ,12,216,7159500,9,6,6,6,7,6,9,7,56
168SPSCGQ,しるふぁ,CTW8DKV5P,まったり,10,218,7157500,8,6,6,6,7,6,8,7,54
9FCM2N4CA,臨倉奴太郎,,,15,219,7155500,6,6,6,5,6,6,6,5,46
84CN09DR5,むすび,0TKFF5EG3,サークル名募集中,14,220,7154500,6,7,7,7,6,6,6,7,52
7LOYVCMEZ,るべ,HBUK6F7CC,乙宗梢なりきり部,2,221,7154000,7,8,7,7,7,7,7,7,57
S7PDFX3DD,Ruby,,,15,222,7150000,4,8,6,9,7,7,4,8,53
DPQ6HPBXJ,黒い秋,49AMYCXCD,ルドベキア,4,223,7149500,7,6,6,7,6,10,6,7,55
7VE9T0CUP,むらたみ,PBRDPWEY1,村村会,14,224,7147500,3,6,6,6,7,6,3,6,43
XBQ9DY9FG,店長,3A63DYH54,LLすこすこ部,14,225,7147000,5,7,7,7,7,7,6,7,53
EQOU1ZZS7,葵,VW65MCVF8,スリスリーズ,15,226,7143500,10,5,5,5,5,5,5,5,45
E1BW0SBYP,かすかべ,1DU9LCND7,蓮ノ空すこやか部,15,227,7143000,8,7,7,7,7,7,8,7,58
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,228,7133000,7,5,5,5,5,5,7,5,44
X0REUC1B0,ジークハルト,GXR6C85BT,花帆ちゃん親衛隊,15,229,7130000,6,6,7,7,8,7,7,7,55
