player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
37TK4NI43,オレンジライン,31A7JKC69,蓮好きの巣窟,0,15880,3089400,51753725.0,13378.0,180306548.0,12731.0,,,1,4,1,1,1,1,1,4
U2WEUFPTP,Tak,HLD3X0E6T,蓮ノ調,0,15881,3089035,,,68575677.0,13428.0,,,1,1,1,1,1,1,1,1
XKUJK8DJ1,よはまる,YCY3A9106,つづ党募集中！,0,15882,3089030,,,67147085.0,13439.0,90370536.0,12729.0,1,1,2,1,1,1,1,1
KYMP3P0OS,りょーぽん,TTDBXERCU,蓮ノ空 全力応援,0,15883,3088905,,,75557355.0,13388.0,,,1,4,1,1,1,1,1,4
2MUDYY502,MION,XJ9EVXAMH,∑ー〇Z,0,15884,3088795,44638974.0,13520.0,183790322.0,12710.0,,,1,4,1,1,1,1,1,4
LJLR2FJFC,Oioioioi,6DFE57BY0,Lovenico,0,15885,3088790,42534720.0,13553.0,189350800.0,12678.0,,,1,1,1,1,1,1,2,1
QSUA86F79,あややん,9759UAJ1R,絆☆家族,0,15886,3088705,42566770.0,13552.0,186249235.0,12696.0,,,1,4,2,4,1,1,4,4
VVJ9J9TR8,みかん,6XX7GBM0K,ぷちぐる同好会,4,15887,3088685,,,,,,,4,4,1,5,1,4,4,8
BR54C09XN,空白,3194B9E93,初心者寄り合い所,5,15888,3088560,0.0,14227.0,312455715.0,12050.0,,,1,1,1,1,1,1,1,1
8HW2WHAJN,ある,,,0,15889,3087520,76251967.0,12878.0,,,0.0,13594.0,1,1,2,4,1,1,4,6
J0PMX6VZE,RingRing,YAY2UK2CT,蓮の空研究部,0,15890,3087500,,,40612209.0,13574.0,,,1,1,1,1,1,1,1,1
EGSS0IUPO,ラブライバー,GBEJMUFWT,めぐちゃんズ(仮,0,15891,3086975,23251141.0,13812.0,170149289.0,12782.0,,,1,1,1,1,1,1,1,1
YRFEFGL8G,ケンケン,,,0,15892,3086435,54249448.0,13325.0,78147622.0,13377.0,,,1,4,4,4,4,2,1,4
ED98CXADB,ゆきむら,11KVGWXAK,藤島幼稚園蓮組,0,15893,3086305,,,0.0,13794.0,,,3,5,3,3,3,3,3,5
UXCFBCTDY,おたま,FR5PDRB5Y,株式会社つづさや,4,15894,3086170,45324591.0,13497.0,96411174.0,13258.0,,,1,1,1,1,1,1,1,1
060F4MFVX,オルカ,4V1HD9MWX,国道ハンターズ,0,15895,3086105,21523869.0,13836.0,146916453.0,12932.0,,,1,1,1,1,1,1,1,1
UT15YAG1B,MK侍,TR057C1UW,蓮ノ空ぼっち部,0,15896,3086030,38840863.0,13609.0,110471209.0,13174.0,,,1,1,1,1,1,1,1,1
GHRUJGV5D,ましろしろ,G202YTPW1,無言倶楽部,0,15897,3085930,,,11807166.0,13712.0,42093077.0,13075.0,1,9,2,2,2,2,2,1
5AL3MY20R,LフューチャーT,KXMXL2KRX,超初心者,0,15898,3085835,40617693.0,13585.0,99853413.0,13237.0,,,1,4,1,4,1,1,1,4
LAU790EM8,イロコィ,N7J2R9JDN,ログイン目標勢!,0,15899,3085490,38589110.0,13615.0,92833856.0,13276.0,,,1,5,1,1,1,1,1,5
DYZM1MLEG,じゃじゃんぬ,K7LC46V5M,Link！ラ部,0,15900,3085450,35614925.0,13663.0,99914981.0,13236.0,,,1,1,2,1,1,1,1,1
