player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
XBC259K8X,メガネ,11FB0EDDT,スクステ同好会,15,204,35827000,10,6,7,6,7,6,6,9,57,42
WIN8KLGAN,もり,1BME38BCD,さすさやクラブ,3,205,35817000,10,7,7,7,7,7,8,10,63,45
C9DT5IUUS,みしゃにー,NDFW9C99C,蓮じらし,12,206,35815000,8,7,8,8,8,8,8,10,65,47
71CYB5LAJ,梓弓,YE7CX8RNP,蓮ノ大三十角ex,14,207,35805000,10,10,9,8,9,8,6,10,70,54
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,208,35780500,10,5,5,6,5,6,8,8,53,37
INAGE6AD9,halxiel,X34LWGL6R,サークル2,13,209,35773500,8,8,9,8,7,7,6,8,61,47
DPQ6HPBXJ,黒い秋,49AMYCXCD,ルドベキア,4,210,35754500,7,10,7,7,6,7,6,10,60,44
ZAHTN08A4,まいにち,WTJV514G9,蓮ノ空のお弁当屋,14,211,35747000,10,7,8,7,7,7,7,9,62,46
X0REUC1B0,ジークハルト,GXR6C85BT,花帆ちゃん親衛隊,15,212,35733500,10,7,9,9,7,8,8,10,68,50
4N9BBW8FA,レベレンドX,PDMPF3VVV,r/LL,15,213,35726500,10,7,8,8,7,7,7,10,64,47
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,214,35716500,10,8,9,8,8,8,5,7,63,51
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十角ex,10,215,35696000,7,5,5,5,5,7,7,10,51,34
5LL48ARPU,シュウ,9GDHWXGVG,ルリと花咲く毎日,15,216,35691000,6,7,6,7,6,7,6,10,55,39
7HUTLH24X,からすみ,07JW71HWG,良いチケで観よう,15,217,35688000,10,8,9,8,9,10,6,7,67,54
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,12,218,35684000,10,8,9,8,7,8,5,9,64,50
VD8CGKV44,のたく,79C17CHA2,蓮ノ空出張部,14,219,35681000,8,8,8,8,8,8,7,10,65,48
1A279T9WC,ねば,3BDTCERX6,打ち返した流れ星,13,220,35672500,10,8,8,8,8,7,7,9,65,49
